probe_id,gene_symbol,log2FC,mean_a,mean_b,t_stat,p_value,adj_p_value
217046_s_at,AGER,-3.46292,7.00171,10.4646,-20.0239,2.63598e-39,7.2061e-35
215918_s_at,SPTBN1,-2.5091,6.19441,8.70351,-20.0155,1.97693e-39,7.2061e-35
228540_at,QKI,-1.2188,6.90879,8.12759,-18.3428,2.87915e-36,5.24725e-32
239650_at,NCKAP5,-3.10513,4.17309,7.27822,-18.0206,1.18233e-34,1.60616e-30
206208_at,CA4,-2.50273,7.10001,9.60275,-17.7147,1.46883e-34,1.60616e-30
1557729_at,GRK5,-1.77003,6.1779,7.94793,-17.8519,1.76737e-34,1.61052e-30
206209_s_at,CA4,-3.86942,6.07414,9.94356,-17.3773,2.73384e-34,2.13533e-30
202524_s_at,SPOCK2,-2.47131,8.37692,10.8482,-18.9735,6.76042e-34,4.62033e-30
229893_at,FRMD3,-1.87659,6.16094,8.03753,-17.2193,8.20693e-34,4.98571e-30
213715_s_at,KANK3,-2.01436,6.64805,8.6624,-17.03,1.4946e-33,8.1717e-30
230469_at,RTKN2,-3.41382,4.23377,7.64759,-18.3262,6.53352e-33,3.24746e-29
207302_at,SGCG,-2.08049,5.48493,7.56542,-17.1527,7.25808e-33,3.30696e-29
229641_at,CCBE1,-2.33122,6.87843,9.20965,-16.4913,3.82488e-32,1.60866e-28
209470_s_at,GPM6A,-4.19843,5.67504,9.87346,-16.3691,9.71885e-32,3.79556e-28
231991_at,CCM2L,-1.7766,6.87128,8.64788,-16.0612,2.20178e-31,8.02549e-28
217771_at,GOLM1,2.06918,9.96895,7.89977,17.2664,2.40584e-31,8.2212e-28
230132_at,PCAT19,-1.98683,7.14408,9.13091,-15.9495,3.6455e-31,1.17246e-27
204396_s_at,GRK5,-2.52073,8.123,10.6437,-16.6405,4.45437e-31,1.35302e-27
209469_at,GPM6A,-3.61581,5.62252,9.23833,-15.8322,6.1003e-31,1.75544e-27
203435_s_at,MME,-2.19432,7.29229,9.48661,-15.8298,7.83759e-31,2.1426e-27
205637_s_at,SH3GL3,-1.59067,6.05859,7.64926,-16.0253,1.93578e-30,5.03993e-27
220027_s_at,RASIP1,-1.95229,7.63273,9.58502,-15.6883,2.48603e-30,6.17835e-27
217177_s_at,PTPRB,-1.93427,6.51503,8.4493,-15.5305,4.4882e-30,1.0614e-26
210081_at,AGER,-4.39762,7.76413,12.1617,-16.126,4.65908e-30,1.0614e-26
242324_x_at,CCBE1,-1.79576,6.22544,8.0212,-15.3551,7.03957e-30,1.51129e-26
205107_s_at,EFNA4,1.61093,8.34278,6.73186,15.716,7.18675e-30,1.51129e-26
205200_at,CLEC3B /// EXOSC7,-2.87982,9.2044,12.0842,-15.442,1.08338e-29,2.19385e-26
238062_at,GPIHBP1,-2.28972,6.93583,9.22556,-15.229,1.26453e-29,2.46922e-26
49111_at,ARRB1,-1.32454,7.81291,9.13745,-15.2474,1.79245e-29,3.26673e-26
221861_at,ARRB1,-1.21063,8.15076,9.36138,-15.2867,1.73972e-29,3.26673e-26
209904_at,TNNC1,-3.11719,6.57732,9.69451,-15.3363,2.7915e-29,4.9234e-26
226028_at,ROBO4,-2.39167,8.09083,10.4825,-15.3804,3.7721e-29,6.44499e-26
226950_at,ACVRL1,-1.99019,8.34854,10.3387,-14.9916,4.64897e-29,7.70249e-26
1556579_s_at,IGSF10,-2.85504,5.39443,8.24947,-15.066,5.38391e-29,8.65781e-26
219719_at,HIGD1B,-1.89779,7.84096,9.73875,-14.8821,8.17413e-29,1.24145e-25
235228_at,CCDC85A,-2.58146,5.21446,7.79593,-15.1065,7.98505e-29,1.24145e-25
222416_at,ALDH18A1,1.08629,9.37574,8.28945,15.0537,1.0486e-28,1.54952e-25
209875_s_at,SPP1,4.50335,12.4514,7.948,15.0361,1.67914e-28,2.41597e-25
207547_s_at,FAM107A,-2.64946,7.81176,10.4612,-14.6231,3.81924e-28,5.35429e-25
227780_s_at,ECSCR,-1.80961,7.96717,9.77677,-14.7371,4.75491e-28,6.49937e-25
209793_at,GRIA1,-1.99308,5.33684,7.32993,-14.6204,5.50158e-28,7.32373e-25
226244_at,CLEC14A,-1.56609,7.99644,9.56253,-14.5166,5.62591e-28,7.32373e-25
204271_s_at,EDNRB,-2.76944,8.04011,10.8095,-14.6269,6.85463e-28,8.71574e-25
