gene_symbol,log2FC_GSE19804,adj_p_value_GSE19804,log2FC_GSE10072,adj_p_value_GSE10072,sig_a,sig_b,combined_rank
SPP1,4.50335,2.41597e-25,4.36442,3.97202e-34,True,True,3
AGER,-3.46292,7.2061e-35,-4.41747,1.51814e-34,True,True,10
FABP4,-3.74737,9.56492e-21,-3.83854,4.56715e-34,True,True,10
WIF1,-3.7736,2.45253e-13,-3.68671,6.16462e-23,True,True,11
TMEM100,-3.56547,2.09758e-17,-3.57031,1.13214e-25,True,True,15
COL11A1,3.97573,1.57808e-14,3.06152,4.13106e-19,True,True,17
FCN3,-3.40527,9.6778e-20,-3.5031,1.98757e-25,True,True,19
SFTPC,-3.26941,5.08223e-16,-3.98982,1.60796e-32,True,True,19
GPM6A,-4.19843,3.79556e-28,-2.83584,2.24628e-26,True,True,21
CLIC5,-3.45981,3.22178e-20,-3.08355,2.37204e-28,True,True,23
CLDN18,-3.22829,2.47357e-16,-3.44641,1.74511e-29,True,True,26
SCGB1A1,-3.38117,1.57718e-09,-2.75742,1.76167e-09,True,True,34
SPINK1,3.33911,2.18576e-10,2.7584,1.50821e-11,True,True,35
TNNC1,-3.11719,4.9234e-26,-2.89798,2.34203e-27,True,True,37
MMP1,3.04219,3.63646e-10,2.86204,3.99175e-14,True,True,40
CLEC3B /// EXOSC7,-2.87982,2.19385e-26,-3.41185,5.27107e-34,True,True,40
ABCA8,-2.81135,4.49852e-15,-2.95991,5.27107e-34,True,True,49
EDNRB,-2.76944,8.71574e-25,-3.16126,7.89018e-33,True,True,49
FAM107A,-2.64946,5.35429e-25,-3.3718,1.48001e-39,True,True,52
CD36,-3.36681,5.50293e-19,-2.41698,5.27107e-34,True,True,54
MT1M,-3.11588,6.58311e-15,-2.55057,2.71925e-20,True,True,54
FHL1,-2.95898,1.61513e-17,-2.55504,6.42075e-33,True,True,56
GREM1,3.02712,5.71711e-12,2.54836,6.32868e-21,True,True,57
SOSTDC1,-3.3862,1.90941e-17,-2.29241,7.14884e-17,True,True,59
UPK3B,-2.77834,1.09547e-16,-2.70631,1.77703e-20,True,True,60
FIGF /// PIR-FIGF,-2.85505,6.87002e-19,-2.5549,2.21943e-31,True,True,62
MMP12,3.1754,3.11372e-14,2.37732,1.16608e-17,True,True,63
TOX3,3.19596,3.35002e-19,2.31132,1.8382e-16,True,True,65
CAV1,-2.65233,1.14597e-21,-2.67774,1.9455e-30,True,True,66
ADIRF,-2.56635,2.73113e-22,-2.70546,3.92075e-28,True,True,70
HBB,-2.47277,1.75799e-15,-2.71113,3.49076e-23,True,True,73
HBA1 /// HBA2,-2.40933,4.69831e-16,-2.848,2.46856e-22,True,True,73
TEK,-2.60435,2.89958e-23,-2.46645,1.27252e-30,True,True,79
CA4,-2.50273,1.60616e-30,-2.55351,2.89975e-25,True,True,79
TOP2A,2.63876,1.56068e-18,2.45596,2.13184e-23,True,True,80
FMO2,-2.54369,2.94107e-21,-2.46807,2.34802e-25,True,True,81
SDPR,-2.8941,1.09687e-19,-2.25911,7.80861e-21,True,True,82
COL1A1,2.9984,6.09363e-18,2.22377,3.4432e-16,True,True,86
CEACAM5,2.59171,6.55773e-09,2.28541,3.87298e-11,True,True,92
COL10A1,3.79823,1.61618e-24,1.95112,1.1347e-21,True,True,94
FOSB,-2.68793,3.28129e-12,-2.25287,6.41663e-12,True,True,95
CAV2,-2.3387,1.47599e-16,-2.4641,1.005e-26,True,True,95
CDH5,-2.20257,6.30208e-24,-2.61957,9.78325e-37,True,True,100
CPB2,-2.8009,1.04278e-11,-2.13965,5.47926e-20,True,True,103
AQP4,-2.37469,6.89986e-13,-2.26563,5.57846e-21,True,True,106
SFTPD,-2.12855,4.48635e-08,-2.71663,2.48697e-21,True,True,113
CP,2.23686,3.70975e-11,2.28409,1.12522e-19,True,True,118
KLF4,-2.29494,6.15543e-16,-2.21986,7.54711e-24,True,True,126
SULF1,2.13605,1.10284e-14,2.36008,2.90557e-24,True,True,130
TGFBR3,-2.11427,2.35969e-16,-2.4222,1.41083e-31,True,True,131
KAL1,-2.41642,2.97216e-19,-2.05501,2.53006e-23,True,True,131
SPOCK2,-2.47131,4.62033e-30,-2.03189,8.25988e-31,True,True,132
ZBTB16,-2.16965,1.2303e-08,-2.25853,9.9397e-23,True,True,133
SFTPA1 /// SFTPA2,-3.19851,2.19749e-09,-1.83581,1.16713e-09,True,True,139
LDB2,-2.14165,2.21419e-21,-2.21178,2.46776e-33,True,True,146
CHRDL1,-2.29787,1.70942e-11,-2.00151,7.01576e-26,True,True,147
CFD,-2.14068,7.70805e-17,-2.15852,7.91075e-26,True,True,150
EMCN,-2.92048,1.3947e-23,-1.80385,1.10029e-26,True,True,156
RGCC,-2.05028,8.06149e-20,-2.24336,3.91827e-29,True,True,160
CXCL13,2.14051,1.41965e-06,2.05431,1.72177e-12,True,True,162
THBS2,2.13053,1.25272e-15,2.08649,9.81742e-21,True,True,165
ADAMTSL3,-2.14793,1.89134e-18,-1.99369,1.47294e-27,True,True,167
FOXF1,-2.01158,9.09059e-21,-2.22806,1.09408e-28,True,True,169
CRABP2,2.30497,8.47981e-17,1.8752,2.82105e-14,True,True,171
MARCO,-1.95907,7.80264e-14,-2.34417,1.53052e-19,True,True,172
MFAP4,-2.02361,1.13143e-15,-2.1114,1.23891e-25,True,True,175
LEPR /// LEPROT,-1.89285,1.35031e-15,-2.59434,3.13022e-28,True,True,177
SLC6A4,-3.59242,1.71588e-17,-1.57214,2.7495e-12,True,True,183
KIAA1462,-2.17508,1.12091e-22,-1.87641,4.64936e-25,True,True,186
ARHGAP6,-2.10154,8.69554e-20,-1.94018,5.40888e-29,True,True,187
PDZD2,-1.92282,5.631e-14,-2.25984,2.04571e-27,True,True,190
KCNK3,-2.00328,4.1761e-24,-2.04944,8.9983e-31,True,True,192
CYP4B1,-1.72966,3.27146e-07,-3.7098,4.42572e-22,True,True,195
LOC101927458 /// LPHN2,-2.07857,1.30961e-17,-1.92298,3.30305e-26,True,True,195
CLDN5,-2.11161,2.51457e-21,-1.88828,7.89018e-33,True,True,199
GPM6B,-1.93958,4.75374e-19,-2.17366,3.53201e-30,True,True,200
DUOX1,-1.92628,9.94099e-15,-2.17652,5.98818e-34,True,True,202
DLC1,-1.9003,2.43478e-16,-2.2454,9.55307e-24,True,True,203
COL3A1,1.98343,9.92226e-18,1.95327,5.95534e-14,True,True,207
GNG11,-2.24147,4.68774e-24,-1.7135,6.69302e-21,True,True,210
LAMP3,-1.8907,1.26066e-14,-2.2256,7.86809e-21,True,True,210
ADAMTS1,-2.04392,6.31193e-14,-1.88116,2.33605e-16,True,True,212
BCHE,-2.45927,4.64284e-12,-1.65198,1.10073e-20,True,True,213
GPC3,-1.98719,1.03951e-14,-1.9217,5.00948e-20,True,True,213
IL1RL1,-2.87256,3.32823e-11,-1.55703,7.92101e-09,True,True,216
RAMP3,-2.0077,6.696e-21,-1.89776,1.04149e-19,True,True,216
GRK5,-1.77003,1.61052e-30,-2.38807,2.23847e-37,True,True,219
GOLM1,2.06918,8.2212e-28,1.83141,1.67021e-24,True,True,222
HMGB3,1.84433,7.37408e-16,2.2162,3.87896e-23,True,True,223
PIP5K1B,-2.13218,7.46493e-16,-1.76377,8.3784e-27,True,True,223
VWF,-1.80757,6.71765e-18,-2.25847,3.97202e-34,True,True,224
GIMAP6,-1.95908,1.88929e-18,-1.91016,4.29635e-23,True,True,225
THBD,-1.96009,1.17391e-19,-1.88174,2.51502e-25,True,True,231
CLIC3,-1.87641,1.83849e-15,-2.03259,1.05512e-20,True,True,231
EMP2,-1.86774,1.89107e-21,-2.02716,4.66638e-28,True,True,236
CXCL2,-2.17339,1.63921e-12,-1.66195,1.15997e-08,True,True,237
PGC,-1.73619,4.04843e-06,-2.26224,3.24367e-19,True,True,238
AOC3,-1.95958,1.44948e-14,-1.86864,8.03167e-31,True,True,238
CDH3,1.97513,1.64474e-18,1.84023,5.78971e-17,True,True,238
LPL,-1.70145,1.5767e-13,-2.38926,1.09678e-25,True,True,239
